год,пол,регион,количество
2019,Мужчины,Могилевская область,26670.0
2020,Оба пола,Республика Беларусь,259930.0
2020,Оба пола,Брестская область,51530.0
2020,Оба пола,Витебская область,42370.0
2020,Оба пола,Гомельская область,49297.0
2020,Оба пола,Гродненская область,10218.0
2020,Оба пола,г. Минск,60516.0
2020,Оба пола,Минская область,10167.0
2020,Оба пола,Могилевская область,35832.0
2020,Женщины,Республика Беларусь,85140.0
2020,Женщины,Брестская область,16577.0
2020,Женщины,Витебская область,12241.0
2020,Женщины,Гомельская область,13965.0
2020,Женщины,Гродненская область,5302.0
2020,Женщины,г. Минск,23838.0
2020,Женщины,Минская область,3374.0
2020,Женщины,Могилевская область,9843.0
2020,Мужчины,Республика Беларусь,174790.0
2020,Мужчины,Брестская область,34953.0
2020,Мужчины,Витебская область,30129.0
2020,Мужчины,Гомельская область,35332.0
2020,Мужчины,Гродненская область,4916.0
2020,Мужчины,г. Минск,36678.0
2020,Мужчины,Минская область,6793.0
2020,Мужчины,Могилевская область,25989.0
2021,Оба пола,Республика Беларусь,519256.0
2021,Оба пола,Брестская область,
2021,Оба пола,Витебская область,
2021,Оба пола,Гомельская область,
2021,Оба пола,Гродненская область,
2021,Оба пола,г. Минск,
2021,Оба пола,Минская область,
2021,Оба пола,Могилевская область,
2021,Женщины,Республика Беларусь,150499.0
2021,Женщины,Брестская область,
2021,Женщины,Витебская область,
2021,Женщины,Гомельская область,
2021,Женщины,Гродненская область,
2021,Женщины,г. Минск,
2021,Женщины,Минская область,
2021,Женщины,Могилевская область,
2021,Мужчины,Республика Беларусь,368757.0
2021,Мужчины,Брестская область,
2021,Мужчины,Витебская область,
2021,Мужчины,Гомельская область,
2021,Мужчины,Гродненская область,
2021,Мужчины,г. Минск,
2021,Мужчины,Минская область,
2021,Мужчины,Могилевская область,
2022,Оба пола,Республика Беларусь,555119.0
2022,Оба пола,Брестская область,
2022,Оба пола,Витебская область,
2022,Оба пола,Гомельская область,
2022,Оба пола,Гродненская область,
2022,Оба пола,г. Минск,
2022,Оба пола,Минская область,
2022,Оба пола,Могилевская область,
2022,Женщины,Республика Беларусь,188036.0
2022,Женщины,Брестская область,
2022,Женщины,Витебская область,
2022,Женщины,Гомельская область,
2022,Женщины,Гродненская область,
2022,Женщины,г. Минск,
2022,Женщины,Минская область,
2022,Женщины,Могилевская область,
2022,Мужчины,Республика Беларусь,367083.0
2022,Мужчины,Брестская область,
2022,Мужчины,Витебская область,
2022,Мужчины,Гомельская область,
2022,Мужчины,Гродненская область,
2022,Мужчины,г. Минск,
2022,Мужчины,Минская область,
2022,Мужчины,Могилевская область,
2023,Оба пола,Республика Беларусь,405527.0
2023,Оба пола,Брестская область,
2023,Оба пола,Витебская область,
2023,Оба пола,Гомельская область,
2023,Оба пола,Гродненская область,
2023,Оба пола,г. Минск,
2023,Оба пола,Минская область,
2023,Оба пола,Могилевская область,
2023,Женщины,Республика Беларусь,138662.0
2023,Женщины,Брестская область,
2023,Женщины,Витебская область,
2023,Женщины,Гомельская область,
2023,Женщины,Гродненская область,
2023,Женщины,г. Минск,
2023,Женщины,Минская область,
2023,Женщины,Могилевская область,
2023,Мужчины,Республика Беларусь,266865.0
2023,Мужчины,Брестская область,
2023,Мужчины,Витебская область,
2023,Мужчины,Гомельская область,
2023,Мужчины,Гродненская область,
2023,Мужчины,г. Минск,
2023,Мужчины,Минская область,
2023,Мужчины,Могилевская область,
